Ask,Keep Auto Builds,Disable Auto Builds,Remove Project,Notes,name,id,url,custom_domain,account_name,account_slug,repo_url,repo_branch,framework,build_command,auto_deploy,paused,published_at,created_at,updated_at,state
,,,,,anchor-alignment-poc,bfdbca23-d007-484a-89e7-4f06f7411d20,https://anchor-alignment-poc.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/anchor-alignment-poc,master,,yarn build,yes,yes,2021-07-06T04:50:15.688Z,2021-06-30T21:20:57.120Z,2026-06-26T11:58:54.081Z,current
,,,,,beta-bibel-navigation-test,e5c968e0-3937-4707-a476-37a852bec343,https://beta-bibel-navigation-test.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/beta-bibel-demo,main,,vite build,yes,yes,2024-08-08T16:46:08.007Z,2024-07-25T11:47:12.803Z,2026-06-26T12:01:19.150Z,current
,,,,,bibel-navigation-demo,d1747953-b888-4936-8806-09cffe40c107,https://bibel-navigation-demo.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/bibel-wiki-navigator,main,,vite build,yes,yes,2024-07-25T16:03:41.803Z,2024-07-17T21:28:45.852Z,2026-06-26T13:25:01.623Z,current
,,,,,bible-preview-app,8c7a5e3b-7b7c-4abb-9559-9e5c02eba09e,https://bible-preview-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/bible-preview-app,main,,yarn build,yes,yes,2023-10-11T10:50:11.612Z,2022-12-21T23:06:09.904Z,2026-07-01T09:47:16.569Z,current
,,,,,bible-reference-rcl,36b727ae-4d35-4123-b7d0-bef7de7f18b4,https://bible-reference-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/bible-reference-rcl,develop,,yarn build,yes,no,2021-01-13T15:00:09.397Z,2020-11-17T15:51:49.143Z,2026-07-08T13:06:33.345Z,current
,,,,,bible-wordle,bef9aa12-299f-4714-b161-fd2563f05f7a,https://www.unfoldingwordle.org,www.unfoldingwordle.org,unfoldingWord,unfoldingword-hvaaits,https://github.com/klappy/wordle,main,,npm run build,yes,no,2022-04-24T15:51:05.904Z,2022-01-30T00:54:44.873Z,2026-06-25T05:32:24.087Z,current
,,,,,btservant,6cffff0e-b866-4b21-9105-76184f9aead3,https://www.btservant.ai,www.btservant.ai,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/bt-servant-site,main,,,yes,no,2026-06-22T13:51:11.974Z,2026-04-27T16:43:41.191Z,2026-06-22T13:51:15.854Z,current
,,,,,checking-tool-rcl,b9582525-c646-48c8-a8bd-36af487ee089,https://checking-tool-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/checking-tool-rcl,master,,yarn build,yes,no,2025-02-12T20:58:43.787Z,2024-04-09T13:05:41.330Z,2026-04-23T10:39:03.841Z,current
,,,,,content-validation,1bc79395-2a01-41d8-a727-7b00ab2b6f90,https://content-validation.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/uw-content-validation,master,,react-scripts build,yes,no,2026-06-22T03:58:20.859Z,2022-10-05T12:31:59.873Z,2026-06-30T20:26:47.511Z,current
,,,,,datatable-translatable,b5b527f6-42f2-4143-a94f-d2361dcfe784,https://datatable-translatable.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/datatable-translatable,master,,yarn build,yes,no,2026-03-04T13:46:37.085Z,2019-11-13T01:55:50.617Z,2026-03-04T13:46:45.671Z,current
,,,,,dcs-branch-merger,eb749f83-3400-4216-9a9c-eaad523e9a6e,https://dcs-branch-merger.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/dcs-branch-merger,develop,,yarn predeploy,yes,no,2026-03-27T21:57:25.527Z,2023-04-29T08:40:58.518Z,2026-03-28T01:13:13.702Z,current
