Ask,Keep Auto Builds,Disable Auto Builds,Remove Project,Notes,name,id,url,custom_domain,account_name,account_slug,repo_url,repo_branch,framework,build_command,auto_deploy,paused,published_at,created_at,updated_at,state
,,,,,dcs-catalog-accordion,ae4cf759-4bd8-4356-8cbd-a5e840bcaeaf,https://dcs-catalog-accordion.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/dcs-catalog-accordion-rcl,main,,pnpm build,yes,no,2026-06-27T22:07:05.017Z,2024-07-19T04:48:55.323Z,2026-06-27T22:07:08.915Z,current
,,,,,dcs-docs,80d6116f-7730-4ab8-8c02-b9528293aa07,https://dcs-docs.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/dcs-docs,main,,yarn build,yes,no,2022-03-15T22:07:54.003Z,2022-02-25T23:00:25.481Z,2026-02-19T07:38:07.403Z,current
,,,,,dcs-file-version-diff-tool,4b90d82b-3724-4191-9907-1a7b9be1a6ea,https://dcs-file-version-diff-tool.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/dcs-file-version-diff-tool,main,,yarn build,yes,yes,2022-08-19T21:41:41.965Z,2022-08-17T18:56:58.470Z,2026-07-01T10:18:37.341Z,current
,,,,,door43-library,1c56ad48-dbf0-4c85-aa3d-38f03f48f8d8,https://door43-library.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/door43-library,master,,npm run build,yes,no,2023-01-09T22:41:25.536Z,2023-01-09T16:42:01.134Z,2026-02-19T09:54:10.969Z,current
,,,,,door43-preview,611844a6-4002-4938-b20e-540c10eff160,https://preview.door43.org,preview.door43.org,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/door43-preview-app,netlify-version,,vite build,yes,yes,2025-12-09T09:28:33.088Z,2023-07-24T22:34:54.357Z,2026-06-28T09:28:49.987Z,current
,,,,,door43-preview-renderers,22908195-5534-4601-826c-9d3198d0fbb3,https://door43-preview-renderers.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/door43-preview-renderers,main,,pnpm run styleguide:build,yes,no,2026-07-05T03:18:43.305Z,2025-11-24T14:00:11.278Z,2026-07-05T03:18:52.651Z,current
,,,,,foundations-bt,b5b401f6-7490-4b6d-ad67-e71e14ab0666,https://foundationsbt.com,foundationsbt.com,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/foundations-bt-website,main,,,yes,no,2026-06-30T15:16:30.947Z,2026-06-26T08:09:26.607Z,2026-06-30T15:16:36.293Z,current
,,,,,gateway-admin,efb532fb-b896-477a-8734-732603f7cc60,https://gateway-admin.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/gateway-admin,main,,NODE_OPTIONS=--openssl-legacy-provider npm run build,yes,no,2025-08-19T18:29:10.962Z,2021-11-16T12:39:57.696Z,2026-06-22T04:06:32.288Z,current
,,,,,gateway-edit,58e59c6e-0cea-43cd-b535-86d3495ce3c9,https://gatewayedit.com,gatewayedit.com,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/gateway-edit,main,,npm run build,yes,no,2026-06-10T16:37:25.476Z,2021-01-04T20:40:19.211Z,2026-07-03T03:32:18.743Z,current
,,,,,gateway-translate,c5a7a1af-6b28-4f2b-9413-676b713f991e,https://gateway-translate.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/gateway-translate,main,,npm run build,yes,yes,2024-01-12T08:46:41.413Z,2022-10-03T13:40:07.946Z,2026-02-19T03:25:06.888Z,current
,,,,,gitea-react-toolkit,bdf2f405-9184-49b6-a40c-a6e441e01161,https://gitea-react-toolkit.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/gitea-react-toolkit,master,,yarn build,yes,no,2026-05-12T13:13:22.117Z,2019-04-11T15:41:40.222Z,2026-05-12T13:13:27.579Z,current
,,,,,gracious-swirles-b5f835,3bdec4f5-8b94-4db7-9733-a13a07dd50dd,https://dw.door43.org,dw.door43.org,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/dw_redirects,master,,,yes,no,2020-05-14T14:42:47.282Z,2020-05-11T20:47:10.199Z,2026-06-23T14:42:25.590Z,current
,,,,,greek-apparatus,719313a0-e060-4c10-b717-2e8eaea2f677,https://greek-apparatus.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/greek-apparatus-app,main,,npm run build && npm run export,yes,yes,2020-12-14T15:57:58.706Z,2020-12-09T22:09:36.521Z,2026-07-01T13:56:13.566Z,current
,,,,,lorem-ipsum-usfm,a672d9ee-8c63-49f1-be22-9a241d4aa1cc,https://lorem-ipsum-usfm.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/klappy/lorem-ipsum-usfm,master,,yarn build-dev,yes,yes,2022-03-14T19:26:32.303Z,2021-12-15T20:08:22.772Z,2026-07-01T10:39:05.519Z,current
,,,,,markdown-translatable,5e395863-8503-4255-9196-228d6314923f,https://markdown-translatable.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/markdown-translatable,master,,yarn build,yes,no,2023-03-08T14:58:39.989Z,2019-11-18T20:40:39.671Z,2026-02-19T04:12:07.402Z,current
,,,,,metadata-rcl,82ba6645-868c-4cc5-a495-182666249149,https://metadata-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/uw-metadata-react-component-library,master,,yarn build,yes,yes,2020-05-07T19:32:01.162Z,2020-04-27T15:19:03.427Z,2026-07-01T15:06:35.996Z,current
,,,,,next-js-template,c2110781-032a-47b5-9441-c9dd8e1d071e,https://next-js-template.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/next-js-template,main,,npm run build,yes,yes,2022-09-26T15:09:55.097Z,2021-11-05T15:17:25.742Z,2026-07-01T15:23:16.053Z,current
,,,,,obs-audio,b6e29b52-e3f1-4a44-81e5-159420ed9340,https://obs-audio.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/obs-audio-navigation,main,,vite build,yes,yes,2024-07-05T11:06:37.015Z,2024-07-01T11:55:51.733Z,2026-07-01T08:31:34.386Z,current
,,,,,obs-pdf-poc,29e62cca-7323-4689-b3bd-124f972b2350,https://obs-pdf-poc.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/obs-pdf-poc,main,,yarn build-dev,yes,yes,2023-04-26T01:33:39.548Z,2021-08-10T19:40:39.741Z,2026-07-01T15:20:23.114Z,current
,,,,,obs-web,85625c6e-e10c-41ca-ad24-ecb5e38fe16e,https://obs-web.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-dev/obs-web,master,,npm run build,yes,no,2023-01-03T21:30:13.767Z,2020-04-29T21:09:43.254Z,2026-02-19T07:13:10.046Z,current
,,,,,oce-editor-tools-mui-core,7f3c8b49-ba84-4de5-911f-64a489aeab71,https://oce-editor-tools-mui-core.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/oce-editor-tools,main,,nx build:styleguide @oce-editor-tools/mui-core --skip-nx-cache,yes,no,2024-07-15T12:15:57.629Z,2023-06-16T18:32:35.013Z,2026-02-19T07:41:05.524Z,current
,,,,,oce-editor-tools-mui-pk,e30f61b8-c107-4453-8782-56598dd065c4,https://oce-editor-tools-mui-pk.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/oce-editor-tools,main,,yarn nx build:styleguide @oce-editor-tools/mui-pk --skip-nx-cache,yes,no,2024-07-15T12:18:06.852Z,2023-07-25T12:21:54.219Z,2026-02-19T01:49:07.101Z,current
,,,,,oce-editor-tools-mui-simple,e8a0251e-b465-4ab0-82f2-79837f799d48,https://oce-editor-tools-mui-simple.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/oce-editor-tools,main,,yarn nx build:styleguide @oce-editor-tools/mui-simple --skip-nx-cache,yes,no,2024-07-15T12:15:56.157Z,2023-04-25T22:27:17.708Z,2026-02-19T02:07:26.040Z,current
,,,,,oce-oak-render,251565a7-3896-4d43-a21f-e8e582ba81fd,https://oce-oak-render.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/oce-oak-render,main,,pnpm run build,yes,yes,2024-01-12T14:27:49.424Z,2023-09-13T13:26:43.844Z,2026-07-01T09:45:30.332Z,current
,,,,,oce-oak-render-manual,4b7050f3-b3e4-40b7-b0a2-086e09356740,https://oce-oak-render-manual.netlify.app,,unfoldingWord,unfoldingword-hvaaits,,,,,,yes,,2023-09-13T13:21:57.377Z,2026-06-26T13:43:01.107Z,current
,,,,,openbibletext,0ba2c1af-f7bd-46ac-a36b-9109ef4881e7,https://openbibletext.com,openbibletext.com,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/obt,main,,npm run build,yes,no,2026-03-18T14:42:56.237Z,2024-12-23T06:29:42.427Z,2026-05-21T08:02:19.993Z,current
,,,,,opencomponents,505acf2f-f8fe-49b5-bfca-51ed1e071c6b,https://technology.bible,technology.bible,unfoldingWord,unfoldingword-hvaaits,https://github.com/bible-technology/opencomponents.io,main,,yarn build,yes,no,2026-03-10T18:45:57.381Z,2021-07-15T15:47:26.638Z,2026-05-11T16:42:35.679Z,current
,,,,,perf-html-editor-app,db4ca837-59a5-4956-bf7c-29e1827209ed,https://perf-html-editor-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/klappy/perf-html-editor-app,main,,yarn build,yes,yes,2022-07-21T21:27:35.781Z,2022-05-27T17:53:46.438Z,2026-07-01T10:20:43.864Z,current
,,,,,proskomma-react-hooks,8bc5a2a9-9175-4468-8881-5545ebd07f92,https://proskomma-react-hooks.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/proskomma-react-hooks,master,,yarn build-dev,yes,no,2022-07-15T19:25:30.698Z,2021-10-06T16:26:56.874Z,2026-02-19T02:14:08.571Z,current
,,,,,resource-container-rcl,7a81050d-4841-4630-918f-52b865e2cdaf,https://resource-container-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/resource-container-rcl,master,,yarn build,yes,yes,2021-03-10T16:04:59.248Z,2020-05-20T22:00:25.270Z,2026-07-01T13:12:07.906Z,current
,,,,,resource-workspace,3958fa1e-4f07-4724-98f2-60da766d9edb,https://resource-workspace.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/resource-workspace-rcl,main,,yarn build,yes,no,2022-09-21T15:05:00.047Z,2020-11-13T20:26:48.719Z,2023-08-10T12:52:00.979Z,current
,,,,,scripture-burrito-rcl,e638aaac-dddc-4046-8489-323b3cfa7e5b,https://scripture-burrito-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/bible-technology/scripture-burrito-rcl,master,,yarn build,yes,yes,2020-05-28T21:23:48.419Z,2020-05-08T14:50:27.724Z,2026-07-01T15:10:38.934Z,current
,,,,,scripture-open-components-poc,076a6244-8256-4171-9670-0f774bbff82e,https://scripture-open-components-poc.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/klappy/tre,main,,yarn build,yes,no,2022-06-17T05:51:52.677Z,2022-06-17T05:34:24.431Z,2026-02-19T02:32:36.874Z,current
,,,,,scripture-resources-rcl,3a01db85-63fd-4adf-b5aa-3b9922d0579f,https://scripture-resources-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/scripture-resources-rcl,master,,yarn build,yes,no,2026-03-19T13:25:17.353Z,2019-11-13T01:31:39.153Z,2026-03-19T13:25:27.797Z,current
,,,,,scripture-tsv,9b6b68ad-2365-4e04-ada6-c5998404eb21,https://scripture-tsv.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/scripture-tsv,main,,pnpm run build-storybook,yes,no,2024-05-07T12:41:34.258Z,2023-12-06T19:38:38.461Z,2026-02-19T11:34:35.872Z,current
,,,,,simple-text-editor-app,2453e8cb-b853-4628-b454-6c3218b55702,https://simple-text-editor-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/simple-text-editor-app,master,,yarn build,yes,yes,2022-05-09T18:20:21.591Z,2021-10-20T20:09:45.578Z,2026-07-01T10:34:39.540Z,current
,,,,,simple-text-editor-rcl,4c73b0de-5053-4a35-bd1d-c4d3dc35b3f7,https://simple-text-editor-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/simple-text-editor-rcl,master,,yarn build-dev,yes,yes,2025-06-06T21:10:10.243Z,2021-10-20T18:05:07.390Z,2026-07-01T10:34:49.824Z,current
,,,,,simple-usfm-editor-app,b6e1e29a-840a-4058-9cc7-efe8e68f9e60,https://simple-usfm-editor-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/klappy/simple-usfm-editor-app,main,,npm run build,yes,yes,2022-05-09T17:15:27.842Z,2022-02-22T10:41:01.639Z,2026-07-01T10:38:10.496Z,current
,,,,,single-scripture-rcl,fa5a3a37-abf2-4141-b894-d291b60e7995,https://single-scripture-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/single-scripture-rcl,main,,yarn build,yes,no,2026-03-11T15:30:42.484Z,2021-01-13T20:35:00.468Z,2026-07-08T12:34:37.816Z,current
,,,,,string-punctuation-tokenizer,44b1a47e-3bc3-4996-ab97-d8a50d69dc63,https://string-punctuation-tokenizer.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/string-punctuation-tokenizer,develop,,yarn styleguide:build,yes,no,2021-08-25T21:54:55.175Z,2020-04-24T14:07:38.289Z,2023-04-18T14:50:33.557Z,current
,,,,,tc-create-app,a3021b7e-6260-4098-9f94-ca02d08e7947,https://create.translationcore.com,create.translationcore.com,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/tc-create-app,master,,yarn build,yes,no,2026-06-09T18:57:55.031Z,2020-02-06T16:41:51.304Z,2026-06-22T04:07:42.170Z,current
,,,,,tn-converter-app,2514b51e-d6ea-4dc3-ad15-0458bab21c01,https://tn-converter-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/md-converter-app,main,,yarn build,yes,yes,2021-12-20T19:32:43.218Z,2020-08-12T22:53:12.375Z,2026-07-01T13:00:10.087Z,current
,,,,,translation-helps-print-preview-app,35cfa226-6d3c-44a3-b72a-8aefd8798470,https://translation-helps-print-preview-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/translation-helps-print-preview,main,,yarn build,yes,no,2022-06-17T19:20:42.102Z,2022-06-16T15:16:25.083Z,2026-02-19T00:59:05.952Z,current
,,,,,translation-helps-print-preview-rcl,e0f5d75a-a3ae-42aa-b4fb-701cfe40f01d,https://translation-helps-print-preview-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/translation-helps-print-preview,main,,yarn build-dev,yes,no,2022-06-20T22:16:07.870Z,2022-06-16T05:33:28.680Z,2026-02-19T06:28:10.117Z,current
,,,,,translation-helps-rcl,57413041-9de1-4d67-969e-3d5a2cd4225c,https://translation-helps-rcl.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/translation-helps-rcl,main,,yarn build,yes,no,2026-03-27T22:02:43.291Z,2020-11-10T17:13:38.791Z,2026-03-27T22:02:43.363Z,current
,,,,,translationcore-website,d593b2ee-950a-48f5-ad8a-d7c512ddf9cb,https://translationcore.com,translationcore.com,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/tc-website,main,,,yes,no,2026-04-17T14:37:07.506Z,2026-03-20T13:28:35.537Z,2026-06-16T12:22:17.312Z,current
,,,,,trash-delete,88c4453a-a41a-46bd-9d5a-edd449a6bd66,https://trash-delete.netlify.app,,unfoldingWord,unfoldingword-hvaaits,,,,,,yes,2023-09-25T16:47:43.953Z,2022-12-30T14:24:40.051Z,2026-07-01T07:49:10.209Z,current
,,,,,tsv-quote-converters,64c81dde-547e-48fe-8e29-5ecf4e2b6180,https://tsv-quote-converters.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/tsv-quote-converters,main,,pnpm run styleguide:build,yes,no,2026-07-05T00:49:45.824Z,2025-02-12T02:31:14.679Z,2026-07-05T00:49:51.466Z,current
,,,,,tsv-tn-cleanup,45765e18-bfd3-4ee3-b08c-8993a4f21197,https://tsv-tn-cleanup.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/tsv7-tn-cleanup-app,main,,pnpm build,yes,no,2026-06-24T05:26:07.543Z,2024-10-14T19:02:14.699Z,2026-06-24T05:26:17.104Z,current
,,,,,tsv-twl-creation-app,5d0d67a7-f3cc-4931-9129-1ab242805c34,https://tsv-twl-creation-app.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/tsv-twl-creation-app,main,,pnpm build,yes,no,2026-06-16T10:51:42.220Z,2025-08-07T19:44:42.740Z,2026-06-16T10:51:48.414Z,current
,,,,,ufw,774a3fcd-2681-40ec-8b5a-54fbfc4e1864,https://ufw.io,ufw.io,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/ufw_redirects,master,,,yes,no,2026-06-02T19:42:04.239Z,2020-05-12T13:56:28.894Z,2026-06-21T04:32:18.132Z,current
,,,,,ufw-website,2b2624d2-731a-45d4-8c06-47b8cf6b0bdc,https://ufw-website.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/website,main,,npm run export,yes,yes,2025-05-31T15:08:48.467Z,2021-05-24T15:25:41.884Z,2026-07-02T08:14:14.016Z,current
,,,,,usfm-alignment-remover,44e69138-3a40-406e-a497-1d1bb3af2c16,https://usfm-alignment-remover.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/usfm-alignment-remover-app,main,,pnpm run build,yes,no,2026-01-21T23:17:43.464Z,2024-07-11T15:40:28.739Z,2026-02-19T02:20:05.667Z,current
,,,,,uw-editor,8b2ee1e6-7708-4813-b527-5ce608f4a8f1,https://uw-editor.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/uw-editor,main,,yarn build,yes,no,2023-09-12T15:50:23.284Z,2022-10-27T11:14:15.490Z,2026-02-19T11:38:07.139Z,current
,,,,,uw-gl-database,d26588c7-d5ce-4641-ace8-0cd4e7fbd12e,https://uw-gl-database.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/gl_database,main,,,yes,yes,2022-01-06T15:37:45.211Z,2021-10-12T12:50:37.116Z,2026-07-01T11:15:39.903Z,current
,,,,,uw-metadata-react-component-library,3314f134-36ed-4a3c-b900-1b6b2244a9f0,https://uw-metadata-react-component-library.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/uw-metadata-react-component-library,master,,yarn build,yes,yes,2020-05-07T19:31:44.481Z,2020-04-27T15:23:16.081Z,2026-07-01T07:57:24.976Z,current
,,,,,uw-obt,e5ad91e7-8b24-44eb-b677-7d61a7329948,https://uw-obt.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/obt,main,,npm run build,yes,no,2025-12-18T10:41:10.095Z,2021-01-31T15:51:01.305Z,2026-03-18T14:39:38.275Z,current
,,,,,uw-pdf-preview,22652b97-b3be-4905-94e4-0f3e42177b8b,https://uw-pdf-preview.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/uw-pdf-preview,main,,yarn build,yes,yes,,2022-12-24T16:29:52.691Z,2026-06-26T13:43:32.711Z,current
,,,,,uw-quote-helpers,318e8f41-eca4-497f-b2c0-64d2a10c358f,https://uw-quote-helpers.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/uw-quote-helpers,main,,pnpm run build:guide,yes,yes,,2024-05-31T12:07:30.225Z,2026-06-26T13:43:51.782Z,current
,,,,,uw-tsv-parser,ff1e259d-91d8-404a-b4cb-1deaeeca7194,https://uw-tsv-parser.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/uw-tsv-parser,main,,npm run build,yes,yes,,2022-01-05T21:01:29.653Z,2026-06-26T13:44:09.982Z,current
,,,,,willowy-halva-bb9346,07894779-84ef-4c95-bb97-8dfd40754580,https://willowy-halva-bb9346.netlify.app,,unfoldingWord,unfoldingword-hvaaits,,,,,,yes,2026-04-27T16:47:32.629Z,2026-04-27T16:40:22.008Z,2026-07-01T07:46:52.315Z,current
,,,,,word-aligner,da511f04-027d-44df-a7ed-901dede1dcfb,https://word-aligner.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/word-aligner-rcl,master,,yarn build,yes,no,2026-05-24T23:03:22.141Z,2024-07-23T14:31:06.817Z,2026-05-24T23:03:28.428Z,current
,,,,,wordmap-playground,4d6b9c87-0da7-48ce-8047-a92cd992337c,https://wordmap-playground.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord-box3/wordmap-seed-app,main,,npm run build,yes,yes,2023-02-23T22:55:21.845Z,2023-02-23T22:54:42.072Z,2026-07-01T15:18:52.802Z,current
,,,,,wordmap-svelte-lab,2b0097c2-4806-4975-bb44-ae191dd3b9fb,https://wordmap-svelte-lab.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/klappy/wordmap-svelte-lab,main,,yarn build,yes,yes,2023-04-05T18:31:01.614Z,2023-02-24T09:12:45.346Z,2026-07-01T15:17:41.495Z,current
,,,,,world-language-map,d87b70e3-72aa-4bd3-aab8-5688121a131d,https://world-language-map.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/unfoldingWord/world-language-map-rcl,main,,pnpm build-storybook,yes,no,2024-10-13T01:08:34.534Z,2024-10-07T20:21:57.607Z,2026-02-19T05:08:07.721Z,current
,,,,,xelah-core,8e284320-6a67-4121-a86a-0b97e08f5194,https://xelah-core.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/xelahjs/xelah,master,,yarn build-dev,yes,yes,2023-09-22T16:10:13.024Z,2022-07-12T16:41:04.147Z,2026-07-01T10:04:07.984Z,current
,,,,,xelah-type-perf-html,114a1da9-96fd-4ee6-a2c2-054431df2ea5,https://xelah-type-perf-html.netlify.app,,unfoldingWord,unfoldingword-hvaaits,https://github.com/xelahjs/xelah,master,,yarn nx build-dev @xelah/type-perf-html --skip-nx-cache,yes,yes,2023-09-22T16:10:12.603Z,2022-07-12T16:55:52.319Z,2026-07-01T10:03:46.785Z,current
